ScheduleID,ScheduleName,ScheduleType,PackageRoundID,StartDate,EndDate
5c0797b4-9227-4a87-9196-50b7353312b8,Organic Compost,Package,09fb384e-256c-4751-8b54-c002eb545a93,9/1/2024,10/31/2024
5c0797b4-9227-4a87-9196-50b7353312b8,Organic Compost,Package,93a28d0e-8caa-4684-b048-4b3b24a980a7,9/1/2025,10/31/2025
5c0797b4-9227-4a87-9196-50b7353312b8,Organic Compost,Package,20ccc4c1-727d-4f50-8ff6-16fea32f1ec7,9/1/2026,10/31/2026
d7a0d247-3696-4cf4-9dd9-55b352c811cd,Monthly Mowing - Monday,Recurring,,,
26fd4f46-e823-4414-9fea-68439bf92d2d,Monthly R/U- Wednesday,Recurring,,,
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,9c67e210-22b6-454f-b8dd-31ec7b38f79d,5/23/2022,7/9/2022
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,8f311cfb-6777-41e5-b669-f5dcb5c86b73,7/11/2022,8/27/2022
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,c5e3b7c2-d973-4f49-bf39-1344545758bb,5/23/2023,7/9/2023
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,0e305055-2129-4e91-ba72-513bf170da0b,7/11/2023,8/27/2023
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,8a94e0f8-eacb-4ed2-ae43-55451f446a33,5/23/2024,7/9/2024
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,93c1bf2d-2a5d-4595-92b2-3d707edad534,7/11/2024,8/27/2024
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,82813f5c-5b82-4c5f-bd97-5ce4c85123fb,8/29/2024,10/15/2024
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,6e79d630-e941-4075-ae85-fa9bcd80f511,5/23/2025,7/9/2025
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,d1173f25-9239-4aa2-bffa-2a4460a61e73,7/11/2025,8/27/2025
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,25f3134f-57db-4b58-b341-3c4369a9e069,8/1/2025,8/31/2025
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,40441822-4bb2-42b2-9776-ceef6d61e05c,8/29/2025,10/15/2025
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,84d5b0a3-fdc6-46a8-84b2-7f7a29d4668f,8/29/2025,10/15/2025
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,f360d9c7-c02f-4756-8a2e-bdb8721ecd00,8/29/2025,10/15/2025
7c84b641-6223-4d3e-b041-688d41e91212,Green Lawn Pkg Add-on,Package,0e29f93f-fd7c-4d88-b53c-5fbdbc27340d,5/23/2026,7/9/2026
